Symbol,Name,Date,Open,High,Low,Close,Adj Close,Volume
NVDA,NVIDIA Corporation,28/10/2022,131.039993,138.5,130.610001,138.339996,138.339996,52104000
NVDA,NVIDIA Corporation,31/10/2022,137.779999,138.380005,132.970001,134.970001,134.970001,48634100
BRK-B,Berkshire Hathaway Inc.,02/05/2022,324.109985,324.369995,311.73999,318.190002,318.190002,6797200
BRK-B,Berkshire Hathaway Inc.,03/05/2022,319.420013,323.579987,317.670013,318.98999,318.98999,3874700
BRK-B,Berkshire Hathaway Inc.,04/05/2022,319.100006,327.279999,318,326.799988,326.799988,4269600
BRK-B,Berkshire Hathaway Inc.,05/05/2022,325.850006,325.850006,315.160004,318.679993,318.679993,5257600
BRK-B,Berkshire Hathaway Inc.,06/05/2022,317.98999,320.369995,314.190002,318.880005,318.880005,4198800
BRK-B,Berkshire Hathaway Inc.,09/05/2022,315.350006,316.920013,311.559998,312.959991,312.959991,4874400
BRK-B,Berkshire Hathaway Inc.,10/05/2022,315.959991,318.109985,310.23999,312.529999,312.529999,4798400
BRK-B,Berkshire Hathaway Inc.,11/05/2022,313.170013,317.549988,311.01001,311.540009,311.540009,4250700
BRK-B,Berkshire Hathaway Inc.,12/05/2022,307.950012,309.070007,302.549988,308.059998,308.059998,5679800
BRK-B,Berkshire Hathaway Inc.,13/05/2022,311.25,312.470001,307.899994,310.359985,310.359985,3767500
BRK-B,Berkshire Hathaway Inc.,16/05/2022,310.279999,311.950012,307.130005,309.290009,309.290009,3697600
BRK-B,Berkshire Hathaway Inc.,17/05/2022,315.209991,315.440002,312.100006,314.600006,314.600006,4154200
BRK-B,Berkshire Hathaway Inc.,18/05/2022,312.940002,314.170013,305.570007,306.640015,306.640015,4417900
BRK-B,Berkshire Hathaway Inc.,19/05/2022,303.929993,306.309998,301.209991,304.149994,304.149994,4730100
BRK-B,Berkshire Hathaway Inc.,20/05/2022,307.049988,307.459991,298.109985,304.049988,304.049988,5517600
BRK-B,Berkshire Hathaway Inc.,23/05/2022,307.380005,312.440002,306.619995,310.200012,310.200012,4142100
BRK-B,Berkshire Hathaway Inc.,24/05/2022,309.390015,310.309998,303.75,309.170013,309.170013,3657600
BRK-B,Berkshire Hathaway Inc.,25/05/2022,308.589996,310.98999,305.920013,308.640015,308.640015,3704800
BRK-B,Berkshire Hathaway Inc.,26/05/2022,311.269989,314.390015,310.980011,312.5,312.5,4472000
BRK-B,Berkshire Hathaway Inc.,27/05/2022,314.730011,319.23999,314.149994,319.109985,319.109985,4280100
BRK-B,Berkshire Hathaway Inc.,31/05/2022,318.980011,318.980011,314.799988,315.980011,315.980011,5675800
BRK-B,Berkshire Hathaway Inc.,01/06/2022,316,316.790009,309.609985,312.209991,312.209991,3795700
BRK-B,Berkshire Hathaway Inc.,02/06/2022,312.649994,315.089996,308.609985,314.950012,314.950012,3119300
BRK-B,Berkshire Hathaway Inc.,03/06/2022,312.5,313.799988,310.399994,310.940002,310.940002,2587500
BRK-B,Berkshire Hathaway Inc.,06/06/2022,313.380005,315.779999,311.480011,312.149994,312.149994,2980900
BRK-B,Berkshire Hathaway Inc.,07/06/2022,310.579987,313.790009,309.390015,313.649994,313.649994,2550700
BRK-B,Berkshire Hathaway Inc.,08/06/2022,312.160004,312.799988,307.929993,308.73999,308.73999,2877400
BRK-B,Berkshire Hathaway Inc.,09/06/2022,308.100006,308.380005,300.570007,300.799988,300.799988,3217400
BRK-B,Berkshire Hathaway Inc.,10/06/2022,296.079987,298,291.609985,291.709991,291.709991,5882600
BRK-B,Berkshire Hathaway Inc.,13/06/2022,285.429993,287.429993,280.100006,281.559998,281.559998,7109100
BRK-B,Berkshire Hathaway Inc.,14/06/2022,282.089996,283.959991,276.100006,277.640015,277.640015,5838100
BRK-B,Berkshire Hathaway Inc.,15/06/2022,281.160004,282.5,273.869995,278.929993,278.929993,5821200
BRK-B,Berkshire Hathaway Inc.,16/06/2022,273.390015,273.399994,266.880005,268.559998,268.559998,7199200
BRK-B,Berkshire Hathaway Inc.,17/06/2022,268.390015,270.5,265.679993,268.079987,268.079987,11562000
BRK-B,Berkshire Hathaway Inc.,21/06/2022,273.850006,273.980011,270.339996,271.769989,271.769989,4906700
BRK-B,Berkshire Hathaway Inc.,22/06/2022,267.380005,273.399994,267.380005,269.790009,269.790009,4220700
BRK-B,Berkshire Hathaway Inc.,23/06/2022,269.850006,270.709991,263.679993,267.519989,267.519989,4727400
BRK-B,Berkshire Hathaway Inc.,24/06/2022,268.970001,279.670013,268.570007,278.279999,278.279999,6451900
BRK-B,Berkshire Hathaway Inc.,27/06/2022,280.529999,282.029999,277.609985,278.399994,278.399994,4134800
BRK-B,Berkshire Hathaway Inc.,28/06/2022,280.51001,282.450012,273.679993,273.859985,273.859985,3868000
BRK-B,Berkshire Hathaway Inc.,29/06/2022,274.950012,275.940002,272.970001,273.48999,273.48999,2995900
BRK-B,Berkshire Hathaway Inc.,30/06/2022,270.51001,274.920013,268.679993,273.019989,273.019989,4623500
BRK-B,Berkshire Hathaway Inc.,01/07/2022,272.5,278.399994,271.630005,277.5,277.5,3667300
BRK-B,Berkshire Hathaway Inc.,05/07/2022,274.200012,275.859985,271.390015,275.690002,275.690002,3676900
BRK-B,Berkshire Hathaway Inc.,06/07/2022,274.839996,277.51001,272.869995,275.649994,275.649994,3033900
BRK-B,Berkshire Hathaway Inc.,07/07/2022,277.5,279.589996,277.100006,279.279999,279.279999,3949700
BRK-B,Berkshire Hathaway Inc.,08/07/2022,279.790009,282.609985,279.25,280.829987,280.829987,2983400
BRK-B,Berkshire Hathaway Inc.,11/07/2022,279.380005,281.459991,277.869995,278.51001,278.51001,2864400
BRK-B,Berkshire Hathaway Inc.,12/07/2022,277.570007,282.179993,276.649994,277.279999,277.279999,3033000
BRK-B,Berkshire Hathaway Inc.,13/07/2022,275.369995,280.089996,274.450012,277.470001,277.470001,4197400
BRK-B,Berkshire Hathaway Inc.,14/07/2022,273,275.350006,271.200012,274.410004,274.410004,3888500
BRK-B,Berkshire Hathaway Inc.,15/07/2022,277.529999,280,276.059998,278.480011,278.480011,4547400
BRK-B,Berkshire Hathaway Inc.,18/07/2022,281.5,281.5,275.209991,276.26001,276.26001,3273800
BRK-B,Berkshire Hathaway Inc.,19/07/2022,279,284.079987,278.170013,283.549988,283.549988,3590200
BRK-B,Berkshire Hathaway Inc.,20/07/2022,284.640015,286.440002,283.899994,286.040009,286.040009,3877200
BRK-B,Berkshire Hathaway Inc.,21/07/2022,287,287.23999,282.089996,286.850006,286.850006,3699000
BRK-B,Berkshire Hathaway Inc.,22/07/2022,288.100006,289.399994,283.619995,285.929993,285.929993,2876100
BRK-B,Berkshire Hathaway Inc.,25/07/2022,287.209991,289.070007,285.149994,287.98999,287.98999,3136300
BRK-B,Berkshire Hathaway Inc.,26/07/2022,287.790009,288.709991,284.649994,285.309998,285.309998,2512200
BRK-B,Berkshire Hathaway Inc.,27/07/2022,287.670013,291.559998,285.700012,290.299988,290.299988,3613200
BRK-B,Berkshire Hathaway Inc.,28/07/2022,291.179993,294.029999,286.769989,293.899994,293.899994,3986900
BRK-B,Berkshire Hathaway Inc.,29/07/2022,297.420013,302.399994,295.429993,300.600006,300.600006,6976200
BRK-B,Berkshire Hathaway Inc.,01/08/2022,299.700012,299.700012,294.829987,295.859985,295.859985,4192700
BRK-B,Berkshire Hathaway Inc.,02/08/2022,294.869995,295.529999,291.920013,292.170013,292.170013,3166500
BRK-B,Berkshire Hathaway Inc.,03/08/2022,295.049988,295.880005,291.100006,294.959991,294.959991,4061400
BRK-B,Berkshire Hathaway Inc.,04/08/2022,294.730011,295.980011,292.619995,292.910004,292.910004,3946200
BRK-B,Berkshire Hathaway Inc.,05/08/2022,291.869995,294.100006,290.429993,292.070007,292.070007,3395400
BRK-B,Berkshire Hathaway Inc.,08/08/2022,294.869995,299.329987,292.269989,292.339996,292.339996,3965600
BRK-B,Berkshire Hathaway Inc.,09/08/2022,293.350006,297.570007,291.929993,292.769989,292.769989,3872100
BRK-B,Berkshire Hathaway Inc.,10/08/2022,296.480011,296.929993,294.100006,295.109985,295.109985,3705700
BRK-B,Berkshire Hathaway Inc.,11/08/2022,298,299.059998,296.119995,296.470001,296.470001,3144800
BRK-B,Berkshire Hathaway Inc.,12/08/2022,297.899994,301.690002,297,301.549988,301.549988,3231300
BRK-B,Berkshire Hathaway Inc.,15/08/2022,298.640015,303.76001,297.399994,302.820007,302.820007,2927200
BRK-B,Berkshire Hathaway Inc.,16/08/2022,304.98999,308.149994,303.76001,306.649994,306.649994,3342600
BRK-B,Berkshire Hathaway Inc.,17/08/2022,305.220001,306.890015,302.73999,304.26001,304.26001,2962600
BRK-B,Berkshire Hathaway Inc.,18/08/2022,304.440002,304.570007,301.549988,304.269989,304.269989,2783100
BRK-B,Berkshire Hathaway Inc.,19/08/2022,302.950012,303.220001,296.809998,297.279999,297.279999,4613100
BRK-B,Berkshire Hathaway Inc.,22/08/2022,294,294.470001,287.859985,288.690002,288.690002,4713900
BRK-B,Berkshire Hathaway Inc.,23/08/2022,288.850006,291.640015,288.149994,289.649994,289.649994,2592100
BRK-B,Berkshire Hathaway Inc.,24/08/2022,290,294,289.459991,293.519989,293.519989,3266100
BRK-B,Berkshire Hathaway Inc.,25/08/2022,293.709991,298.480011,292.829987,298.130005,298.130005,3463700
BRK-B,Berkshire Hathaway Inc.,26/08/2022,299.410004,299.630005,289.649994,289.959991,289.959991,5277200
BRK-B,Berkshire Hathaway Inc.,29/08/2022,288.399994,289.829987,285.75,287.450012,287.450012,3098300
BRK-B,Berkshire Hathaway Inc.,30/08/2022,288.720001,289.320007,284.769989,285.420013,285.420013,3213700
BRK-B,Berkshire Hathaway Inc.,31/08/2022,287.25,288.01001,280.440002,280.799988,280.799988,4999600
BRK-B,Berkshire Hathaway Inc.,01/09/2022,279.950012,282.679993,277.309998,282.429993,282.429993,3765000
BRK-B,Berkshire Hathaway Inc.,02/09/2022,284.839996,285.420013,276.369995,277.670013,277.670013,3793600
BRK-B,Berkshire Hathaway Inc.,06/09/2022,278.01001,279.48999,275.359985,276.589996,276.589996,4362900
BRK-B,Berkshire Hathaway Inc.,07/09/2022,275.73999,281.73999,275.420013,281.040009,281.040009,3509900
BRK-B,Berkshire Hathaway Inc.,08/09/2022,278.579987,283.399994,277.290009,283.339996,283.339996,3542300
BRK-B,Berkshire Hathaway Inc.,09/09/2022,284.540009,287.019989,284.130005,285.769989,285.769989,3125100
BRK-B,Berkshire Hathaway Inc.,12/09/2022,286.700012,289.23999,286.029999,288.51001,288.51001,3407900
BRK-B,Berkshire Hathaway Inc.,13/09/2022,283.98999,285.140015,277.5,278.290009,278.290009,4582700
BRK-B,Berkshire Hathaway Inc.,14/09/2022,279,280.209991,275.640015,278.420013,278.420013,3718400
BRK-B,Berkshire Hathaway Inc.,15/09/2022,278.690002,281.269989,276.359985,276.700012,276.700012,3274500
BRK-B,Berkshire Hathaway Inc.,16/09/2022,275.350006,276.380005,273.26001,274.809998,274.809998,7288900
BRK-B,Berkshire Hathaway Inc.,19/09/2022,272.790009,279.130005,272.720001,278.950012,278.950012,3291500
BRK-B,Berkshire Hathaway Inc.,20/09/2022,277.170013,278.040009,274.609985,277.130005,277.130005,3275600
BRK-B,Berkshire Hathaway Inc.,21/09/2022,278.899994,278.920013,270.720001,270.73999,270.73999,3941800
BRK-B,Berkshire Hathaway Inc.,22/09/2022,271.029999,271.5,268.269989,268.51001,268.51001,4120900
BRK-B,Berkshire Hathaway Inc.,23/09/2022,266.01001,268.140015,264.23999,267.769989,267.769989,5175100
BRK-B,Berkshire Hathaway Inc.,26/09/2022,265.820007,267.839996,263.369995,264.320007,264.320007,4929300
BRK-B,Berkshire Hathaway Inc.,27/09/2022,266.98999,267.929993,261.549988,265.470001,265.470001,5767700
BRK-B,Berkshire Hathaway Inc.,28/09/2022,265.649994,273.600006,264.910004,271.779999,271.779999,5941800
BRK-B,Berkshire Hathaway Inc.,29/09/2022,269.890015,272.170013,265.589996,269.579987,269.579987,5210700
BRK-B,Berkshire Hathaway Inc.,30/09/2022,269.209991,272.940002,266.600006,267.019989,267.019989,6057500
BRK-B,Berkshire Hathaway Inc.,03/10/2022,269.519989,274.570007,267.160004,272.799988,272.799988,4901000
BRK-B,Berkshire Hathaway Inc.,04/10/2022,277.420013,281.299988,276.600006,280.48999,280.48999,4633700
BRK-B,Berkshire Hathaway Inc.,05/10/2022,276.869995,280.880005,275.839996,279.359985,279.359985,3350400
BRK-B,Berkshire Hathaway Inc.,06/10/2022,278.200012,279.850006,275.899994,276.309998,276.309998,3394000
BRK-B,Berkshire Hathaway Inc.,07/10/2022,274.440002,274.5,267.480011,269.040009,269.040009,4270200
BRK-B,Berkshire Hathaway Inc.,10/10/2022,269.890015,270.209991,265.859985,266.929993,266.929993,3106500
BRK-B,Berkshire Hathaway Inc.,11/10/2022,266.100006,270.970001,265.609985,267.309998,267.309998,3442000
BRK-B,Berkshire Hathaway Inc.,12/10/2022,267.309998,267.519989,263.959991,264,264,3342400
BRK-B,Berkshire Hathaway Inc.,13/10/2022,260.579987,276.779999,259.850006,275.779999,275.779999,5483400
BRK-B,Berkshire Hathaway Inc.,14/10/2022,277.589996,279.220001,271.970001,272.670013,272.670013,4292300
BRK-B,Berkshire Hathaway Inc.,17/10/2022,276.480011,278.589996,275.299988,277.019989,277.019989,4452100
BRK-B,Berkshire Hathaway Inc.,18/10/2022,282.73999,283.359985,279.25,281.670013,281.670013,4292700
BRK-B,Berkshire Hathaway Inc.,19/10/2022,280.329987,282.380005,276.970001,278.339996,278.339996,3213700
BRK-B,Berkshire Hathaway Inc.,20/10/2022,278.070007,279.440002,273,273.529999,273.529999,3916600
BRK-B,Berkshire Hathaway Inc.,21/10/2022,273.76001,282.920013,271.459991,282.51001,282.51001,4995400
BRK-B,Berkshire Hathaway Inc.,24/10/2022,284.100006,289.339996,283.98999,287.480011,287.480011,3860000
BRK-B,Berkshire Hathaway Inc.,25/10/2022,288.769989,289.869995,286.880005,289.23999,289.23999,3171000
BRK-B,Berkshire Hathaway Inc.,26/10/2022,289.75,291.799988,287.679993,288.519989,288.519989,3294100
BRK-B,Berkshire Hathaway Inc.,27/10/2022,290.309998,294,288.850006,289.880005,289.880005,4273800
BRK-B,Berkshire Hathaway Inc.,28/10/2022,292.769989,299.980011,291.480011,299.630005,299.630005,4627600
BRK-B,Berkshire Hathaway Inc.,31/10/2022,297.980011,298.890015,294.850006,295.089996,295.089996,4626400
META,"Meta Platforms, Inc.",02/05/2022,201.169998,211.880005,200.990005,211.130005,211.130005,49915300
META,"Meta Platforms, Inc.",03/05/2022,210.449997,214.899994,208.089996,212.029999,212.029999,41556300
META,"Meta Platforms, Inc.",04/05/2022,210.649994,224.300003,206.960007,223.410004,223.410004,41375900
META,"Meta Platforms, Inc.",05/05/2022,218.740005,220.169998,206.160004,208.279999,208.279999,41129200
META,"Meta Platforms, Inc.",06/05/2022,207.339996,209.380005,201.020004,203.770004,203.770004,34747200
META,"Meta Platforms, Inc.",09/05/2022,199.839996,202.570007,195.580002,196.210007,196.210007,36303200
META,"Meta Platforms, Inc.",10/05/2022,199.509995,202.960007,194.190002,197.649994,197.649994,34452500
META,"Meta Platforms, Inc.",11/05/2022,196.330002,200.669998,188.270004,188.740005,188.740005,31153400
META,"Meta Platforms, Inc.",12/05/2022,187.059998,198.050003,184.779999,191.240005,191.240005,38262200
META,"Meta Platforms, Inc.",13/05/2022,192.580002,199.889999,191.279999,198.619995,198.619995,24549800
META,"Meta Platforms, Inc.",16/05/2022,197.050003,205.369995,195.929993,200.039993,200.039993,27112600
META,"Meta Platforms, Inc.",17/05/2022,202.119995,205.460007,198.360001,202.619995,202.619995,24872700
META,"Meta Platforms, Inc.",18/05/2022,200,201,191.630005,192.240005,192.240005,23960000
META,"Meta Platforms, Inc.",19/05/2022,191.199997,195.289993,189.600006,191.289993,191.289993,24446900
META,"Meta Platforms, Inc.",20/05/2022,194.970001,197.910004,187.869995,193.539993,193.539993,31465600
META,"Meta Platforms, Inc.",23/05/2022,195.190002,196.990005,191.240005,196.229996,196.229996,25059200
META,"Meta Platforms, Inc.",24/05/2022,180.550003,183.679993,176.110001,181.279999,181.279999,50406300
META,"Meta Platforms, Inc.",25/05/2022,180.399994,185.449997,179.320007,183.830002,183.830002,28030200
META,"Meta Platforms, Inc.",26/05/2022,182.880005,192.830002,182.259995,191.630005,191.630005,23056500
META,"Meta Platforms, Inc.",27/05/2022,191.360001,195.330002,189.800003,195.130005,195.130005,22562700
META,"Meta Platforms, Inc.",31/05/2022,194.889999,197.600006,192.009995,193.639999,193.639999,26131100
META,"Meta Platforms, Inc.",01/06/2022,196.509995,199.529999,185,188.639999,188.639999,36623500
META,"Meta Platforms, Inc.",02/06/2022,188.449997,200.940002,187.729996,198.860001,198.860001,31951600
META,"Meta Platforms, Inc.",03/06/2022,195.979996,196.610001,189.779999,190.779999,190.779999,19465000
META,"Meta Platforms, Inc.",06/06/2022,193.990005,196.919998,188.399994,194.25,194.25,30574200
META,"Meta Platforms, Inc.",07/06/2022,191.929993,196.529999,191.490005,195.649994,195.649994,18828700
META,"Meta Platforms, Inc.",08/06/2022,194.669998,202.029999,194.410004,196.639999,196.639999,22267200
META,"Meta Platforms, Inc.",09/06/2022,194.279999,199.449997,183.679993,184,184,23501600
META,"Meta Platforms, Inc.",10/06/2022,183.039993,183.100006,175.020004,175.570007,175.570007,27450800
META,"Meta Platforms, Inc.",13/06/2022,170.589996,172.580002,164.029999,164.259995,164.259995,31749300
META,"Meta Platforms, Inc.",14/06/2022,166.029999,166.75,161.360001,163.729996,163.729996,27244300
META,"Meta Platforms, Inc.",15/06/2022,167.199997,172.160004,163.979996,169.350006,169.350006,30008300
META,"Meta Platforms, Inc.",16/06/2022,163.720001,165.080002,159.610001,160.869995,160.869995,26944100
META,"Meta Platforms, Inc.",17/06/2022,161.679993,165.899994,159.899994,163.740005,163.740005,31374200
META,"Meta Platforms, Inc.",21/06/2022,165.929993,167.759995,155.970001,157.050003,157.050003,50724900
META,"Meta Platforms, Inc.",22/06/2022,158.380005,160.789993,155.440002,155.850006,155.850006,47267800
META,"Meta Platforms, Inc.",23/06/2022,156.270004,159.75,154.25,158.75,158.75,40499200
META,"Meta Platforms, Inc.",24/06/2022,161.729996,170.25,161.300003,170.160004,170.160004,68736000
META,"Meta Platforms, Inc.",27/06/2022,171.320007,171.75,168.009995,169.490005,169.490005,29174600
META,"Meta Platforms, Inc.",28/06/2022,169.899994,171.300003,160.610001,160.679993,160.679993,27744500
META,"Meta Platforms, Inc.",29/06/2022,163.570007,166.330002,160.320007,163.940002,163.940002,28595200
META,"Meta Platforms, Inc.",30/06/2022,162.149994,165.229996,158.490005,161.25,161.25,35250600
META,"Meta Platforms, Inc.",01/07/2022,160.309998,160.619995,155,160.029999,160.029999,31423900
META,"Meta Platforms, Inc.",05/07/2022,158.139999,168.25,157.020004,168.190002,168.190002,28618600
META,"Meta Platforms, Inc.",06/07/2022,168.199997,171.589996,165.460007,169.770004,169.770004,23085900
META,"Meta Platforms, Inc.",07/07/2022,169.449997,172.720001,167.779999,172.190002,172.190002,24083400
META,"Meta Platforms, Inc.",08/07/2022,169.979996,172.399994,168.149994,170.880005,170.880005,19249200
META,"Meta Platforms, Inc.",11/07/2022,167.070007,167.490005,161.910004,162.880005,162.880005,21885600
META,"Meta Platforms, Inc.",12/07/2022,164.800003,165.910004,162.100006,163.270004,163.270004,16639700
META,"Meta Platforms, Inc.",13/07/2022,160.160004,164.979996,159.610001,163.490005,163.490005,16555100
META,"Meta Platforms, Inc.",14/07/2022,161.220001,162.589996,157.279999,158.050003,158.050003,23765200
META,"Meta Platforms, Inc.",15/07/2022,160.539993,164.979996,159.820007,164.699997,164.699997,23342800
META,"Meta Platforms, Inc.",18/07/2022,166.75,171.690002,165.639999,167.229996,167.229996,23574300
META,"Meta Platforms, Inc.",19/07/2022,170.369995,176.490005,169.509995,175.779999,175.779999,25933700
